#begin document (__); __
1	Es	Es	_	_	PPER	_	3|Nom|Sg|Neut	2	2	SB	SB	_	_	_	_	_
2	war	sein	_	_	VAFIN	_	3|Sg|Past|Ind	0	0	ROOT	ROOT	_	_	_	_	_
3	einmal	einmal	_	_	ADV	_	_	2	2	MO	MO	_	_	_	_	_
4	ein	ein	_	_	ART	_	Nom|Sg|Masc	5	5	NK	NK	_	_	_	_	_
5	Elefant	Elefant	_	_	NN	_	Nom|Sg|Masc	2	2	PD	PD	_	_	_	_	_
6	,	_	_	_	$,	_	_	2	2	PUNC	PUNC	_	_	_	_	_
7	der	der	_	_	PRELS	_	Nom|Sg|Masc	8	8	SB	SB	_	_	_	_	_
8	wurde	werden	_	_	VAFIN	_	3|Sg|Past|Ind	2	2	CJ	CJ	_	_	_	_	_
9	jeden	jeder	_	_	PIAT	_	Acc|Sg|Masc	10	10	NK	NK	_	_	_	_	_
10	Tag	Tag	_	_	NN	_	Acc|Sg|Masc	16	16	MO	MO	_	_	_	_	_
11	über	über	_	_	APPR	_	_	10	10	MNR	MNR	_	_	_	_	_
12	die	der	_	_	ART	_	Acc|Sg|Fem	11	11	NK	NK	_	_	_	_	_
13	Straße	Straße	_	_	NN	_	Acc|Sg|Fem	11	11	NK	NK	_	_	_	_	_
14	zum	zu	_	_	APPRART	_	Dat|Sg|Neut	16	16	MO	MO	_	_	_	_	_
15	Brunnen	Brunnen	_	_	NN	_	Dat|Sg|Neut	14	14	NK	NK	_	_	_	_	_
16	geführt	führen	_	_	VVPP	_	Psp	8	8	OC	OC	_	_	_	_	_
17	.	_	_	_	$.	_	_	2	2	PUNC	PUNC	_	_	_	_	_

1	Dabei	Dabei	_	_	PROAV	_	_	2	2	MO	MO	_	_	_	_	_
2	kam	kommen	_	_	VVFIN	_	3|Sg|Past|Ind	0	0	ROOT	ROOT	_	_	_	_	_
3	er	er	_	_	PPER	_	3|Nom|Sg|Masc	2	2	SB	SB	_	_	_	_	_
4	an	an	_	_	APPR	_	_	2	2	MO	MO	_	_	_	_	_
5	der	der	_	_	ART	_	Dat|Sg|Fem	4	4	NK	NK	_	_	_	_	_
6	Wohnung	Wohnung	_	_	NN	_	Dat|Sg|Fem	4	4	NK	NK	_	_	_	_	_
7	eines	ein	_	_	ART	_	Gen|Sg|Masc	8	8	NK	NK	_	_	_	_	_
8	Schneiders	Schneider	_	_	NE	_	Gen|Sg|Masc	4	4	AG	AG	_	_	_	_	_
9	vorbei	vorbei	_	_	PTKVZ	_	_	2	2	SVP	SVP	_	_	_	_	_
10	,	_	_	_	$,	_	_	2	2	PUNC	PUNC	_	_	_	_	_
11	der	der	_	_	PRELS	_	Nom|Sg|Masc	16	16	SB	SB	_	_	_	_	_
12	meist	meist	_	_	ADV	_	_	16	16	MO	MO	_	_	_	_	_
13	am	an	_	_	APPRART	_	Dat|Sg|Masc	16	16	MO	MO	_	_	_	_	_
14	offenen	offen	_	_	ADJA	_	Pos|Dat|Sg|Masc	13	13	NK	NK	_	_	_	_	_
15	Fenster	Fenster	_	_	NN	_	Dat|Sg|Masc	13	13	NK	NK	_	_	_	_	_
16	saß	sitzen	_	_	VVFIN	_	3|Sg|Past|Ind	4	4	RC	RC	_	_	_	_	_
17	und	und	_	_	KON	_	_	16	16	CD	CD	_	_	_	_	_
18	arbeitete	arbeiten	_	_	VVFIN	_	3|Sg|Past|Ind	16	16	CJ	CJ	_	_	_	_	_
19	.	_	_	_	$.	_	_	2	2	PUNC	PUNC	_	_	_	_	_

1	Der	Der	_	_	ART	_	Nom|Sg|Masc	2	2	NK	NK	_	_	_	_	_
2	Schneider	Schneider	_	_	NE	_	Nom|Sg|Masc	3	3	SB	SB	_	_	_	_	_
3	hatte	haben	_	_	VAFIN	_	3|Sg|Past|Ind	0	0	ROOT	ROOT	_	_	_	_	_
4	immer	immer	_	_	ADV	_	_	3	3	MO	MO	_	_	_	_	_
5	einen	ein	_	_	ART	_	Acc|Sg|Masc	6	6	NK	NK	_	_	_	_	_
6	Apfel	Apfel	_	_	NN	_	Acc|Sg|Masc	3	3	OA	OA	_	_	_	_	_
7	bereit	bereit	_	_	PTKVZ	_	Pos	3	3	MO	MO	_	_	_	_	_
8	,	_	_	_	$,	_	_	7	7	PUNC	PUNC	_	_	_	_	_
9	den	der	_	_	PRELS	_	Acc|Sg|Masc	13	13	OA	OA	_	_	_	_	_
10	er	er	_	_	PPER	_	3|Nom|Sg|Masc	13	13	SB	SB	_	_	_	_	_
11	dem	der	_	_	ART	_	Dat|Sg|Masc	12	12	NK	NK	_	_	_	_	_
12	Elefanten	Elefant	_	_	NN	_	Dat|Sg|Masc	13	13	DA	DA	_	_	_	_	_
13	schenkte	schenken	_	_	VVFIN	_	3|Sg|Past|Ind	6	6	RC	RC	_	_	_	_	_
14	.	_	_	_	$.	_	_	3	3	PUNC	PUNC	_	_	_	_	_

1	Daran	Daran	_	_	PROAV	_	_	7	7	MO	MO	_	_	_	_	_
2	war	sein	_	_	VAFIN	_	3|Sg|Past|Ind	0	0	ROOT	ROOT	_	_	_	_	_
3	der	der	_	_	ART	_	Nom|Sg|Masc	4	4	NK	NK	_	_	_	_	_
4	Elefant	Elefant	_	_	NN	_	Nom|Sg|Masc	2	2	SB	SB	_	_	_	_	_
5	sehr	sehr	_	_	ADV	_	_	6	6	MO	MO	_	_	_	_	_
6	bald	bald	_	_	ADV	_	_	7	7	MO	MO	_	_	_	_	_
7	gewöhnt	gewöhnen	_	_	VVPP	_	Psp	2	2	PD	PD	_	_	_	_	_
8	.	_	_	_	$.	_	_	2	2	PUNC	PUNC	_	_	_	_	_

